"model","node","Parameter","Cohens_f_partial","CI","CI_low","CI_high","tract"
"60",61,"time",0.130984522404008,0.9,0,0.334071604117445,"Left_Arcuate"
"60",61,"intervention",0.188665672692897,0.9,0,0.350263154242505,"Left_Arcuate"
"60",61,"mean_RMSt",0.123098779945194,0.9,0,0.286964816819469,"Left_Arcuate"
"60",61,"timeintervention",0.220306821845566,0.9,0,0.400865056219937,"Left_Arcuate"
"61",62,"time",0.134559538480081,0.9,0,0.337569016499402,"Left_Arcuate"
"61",62,"intervention",0.170210667928124,0.9,0,0.329271502604459,"Left_Arcuate"
"61",62,"mean_RMSt",0.164846209488358,0.9,0,0.328518112283447,"Left_Arcuate"
"61",62,"timeintervention",0.205503529680081,0.9,0,0.307921793343858,"Left_Arcuate"
"62",63,"time",0.136969300453405,0.9,0,0.3392115634068,"Left_Arcuate"
"62",63,"intervention",0.156949521616525,0.9,0,0.313654629785791,"Left_Arcuate"
"62",63,"mean_RMSt",0.196126101258493,0.9,0.0112951560522237,0.35881044970297,"Left_Arcuate"
"62",63,"timeintervention",0.161709608562383,0.9,0,0.332474480506734,"Left_Arcuate"
"63",64,"time",0.138648954064167,0.9,0,0.340932503662675,"Left_Arcuate"
"63",64,"intervention",0.159638730005428,0.9,0,0.316940588019528,"Left_Arcuate"
"63",64,"mean_RMSt",0.213591227223795,0.9,0.0455713845530358,0.37608765852726,"Left_Arcuate"
"63",64,"timeintervention",0.0926988894335699,0.9,0,0.236882276535511,"Left_Arcuate"
"64",65,"time",0.151581960617637,0.9,0,0.354579319802396,"Left_Arcuate"
"64",65,"intervention",0.170354969243073,0.9,0,0.329807723358206,"Left_Arcuate"
"64",65,"mean_RMSt",0.224690882685779,0.9,0.0590740300133232,0.387166318577065,"Left_Arcuate"
"64",65,"timeintervention",0.0446172175879469,0.9,0,0.0668534165748597,"Left_Arcuate"
"65",66,"time",0.173049573972406,0.9,0,0.377204131365224,"Left_Arcuate"
"65",66,"intervention",0.180644760750265,0.9,0,0.342224212361041,"Left_Arcuate"
"65",66,"mean_RMSt",0.224322797803479,0.9,0.0588104474783177,0.386671090614535,"Left_Arcuate"
"65",66,"timeintervention",0.0603923671932156,0.9,0,0.161601123971414,"Left_Arcuate"
"66",67,"time",0.205177446284514,0.9,0,0.410303850371453,"Left_Arcuate"
"66",67,"intervention",0.186240826964121,0.9,0,0.349179363205978,"Left_Arcuate"
"66",67,"mean_RMSt",0.220595274066872,0.9,0.0557321272493893,0.381962918674409,"Left_Arcuate"
"66",67,"timeintervention",0.073232663832696,0.9,0,0.197905251080817,"Left_Arcuate"
"67",68,"time",0.233398810107742,0.9,0,0.438451027503332,"Left_Arcuate"
"67",68,"intervention",0.183173049416844,0.9,0,0.345903169726423,"Left_Arcuate"
"67",68,"mean_RMSt",0.226380966733083,0.9,0.0645740236651005,0.385817314527862,"Left_Arcuate"
"67",68,"timeintervention",0.0766003603464432,0.9,0,0.205670834143629,"Left_Arcuate"
"68",69,"time",0.259181031716459,0.9,0.0412419431172574,0.464233566505506,"Left_Arcuate"
"68",69,"intervention",0.183441041039258,0.9,0,0.346189713138063,"Left_Arcuate"
"68",69,"mean_RMSt",0.225879530215756,0.9,0.0652918116680253,0.384220478741716,"Left_Arcuate"
"68",69,"timeintervention",0.0917899483103555,0.9,0,0.235689122190249,"Left_Arcuate"
"69",70,"time",0.25175012897703,0.9,0.0276717933545298,0.456372841074194,"Left_Arcuate"
"69",70,"intervention",0.182205571136724,0.9,0,0.344823588559881,"Left_Arcuate"
"69",70,"mean_RMSt",0.219659920144699,0.9,0.059350473075712,0.377222446928158,"Left_Arcuate"
"69",70,"timeintervention",0.112857817196091,0.9,0,0.269300345509952,"Left_Arcuate"
"7",8,"time",0.0444041761756909,0.9,0,0.233761430431805,"Left_Arcuate"
"7",8,"intervention",0.203595670968667,0.9,0,0.369382737932924,"Left_Arcuate"
"7",8,"mean_RMSt",0.110160094115919,0.9,0,0.26580250184637,"Left_Arcuate"
"7",8,"timeintervention",0.134078786466183,0.9,0,0.298710071542182,"Left_Arcuate"
"70",71,"time",0.231599420427744,0.9,0,0.43749215831912,"Left_Arcuate"
"70",71,"intervention",0.18057635697867,0.9,0,0.343854090298155,"Left_Arcuate"
"70",71,"mean_RMSt",0.202188747280408,0.9,0.0366062597725007,0.360245124730458,"Left_Arcuate"
"70",71,"timeintervention",0.14617737861665,0.9,0,0.315126674767628,"Left_Arcuate"
"71",72,"time",0.241481684677328,0.9,0,0.450249050760982,"Left_Arcuate"
"71",72,"intervention",0.168385340458143,0.9,0,0.331311165467026,"Left_Arcuate"
"71",72,"mean_RMSt",0.169840020141234,0.9,0,0.328758027334078,"Left_Arcuate"
"71",72,"timeintervention",0.159645641875014,0.9,0,0.333652647504898,"Left_Arcuate"
"72",73,"time",0.247435057859814,0.9,0,0.456671140066257,"Left_Arcuate"
"72",73,"intervention",0.159681290481267,0.9,0,0.322004887284355,"Left_Arcuate"
"72",73,"mean_RMSt",0.132746941226661,0.9,0,0.288578271358803,"Left_Arcuate"
"72",73,"timeintervention",0.121177290929795,0.9,0,0.283909306993809,"Left_Arcuate"
"73",74,"time",0.242503397623911,0.9,0,0.4488743073634,"Left_Arcuate"
"73",74,"intervention",0.163605865196068,0.9,0,0.325703251580326,"Left_Arcuate"
"73",74,"mean_RMSt",0.109399746080742,0.9,0,0.262590370462524,"Left_Arcuate"
"73",74,"timeintervention",0.100144881673012,0.9,0,0.250745099829868,"Left_Arcuate"
"74",75,"time",0.21690809237802,0.9,0,0.419395658668539,"Left_Arcuate"
"74",75,"intervention",0.187837491374581,0.9,0,0.352070188940806,"Left_Arcuate"
"74",75,"mean_RMSt",0.0885888257707186,0.9,0,0.239746944455466,"Left_Arcuate"
"74",75,"timeintervention",0.115184360969865,0.9,0,0.172589614641761,"Left_Arcuate"
"75",76,"time",0.177271184032111,0.9,0,0.377448798261039,"Left_Arcuate"
"75",76,"intervention",0.203957366867558,0.9,0,0.369151592371483,"Left_Arcuate"
"75",76,"mean_RMSt",0.0804621390156834,0.9,0,0.231171062087426,"Left_Arcuate"
"75",76,"timeintervention",0.137175736544153,0.9,0,0.30076817438858,"Left_Arcuate"
"76",77,"time",0.150825676666042,0.9,0,0.351799879885563,"Left_Arcuate"
"76",77,"intervention",0.195799018955902,0.9,0,0.360157853659521,"Left_Arcuate"
"76",77,"mean_RMSt",0.0686666741098981,0.9,0,0.220436845465901,"Left_Arcuate"
"76",77,"timeintervention",0.163850021101645,0.9,0,0.334463790209394,"Left_Arcuate"
"77",78,"time",0.137422277993934,0.9,0,0.340961497560331,"Left_Arcuate"
"77",78,"intervention",0.186473591760582,0.9,0,0.349560583691947,"Left_Arcuate"
"77",78,"mean_RMSt",0.0793194211780974,0.9,0,0.237132758617649,"Left_Arcuate"
"77",78,"timeintervention",0.17278171294862,0.9,0,0.346829690397646,"Left_Arcuate"
"78",79,"time",0.123536815419405,0.9,0,0.328119465851552,"Left_Arcuate"
"78",79,"intervention",0.161821238131987,0.9,0,0.320936742827846,"Left_Arcuate"
"78",79,"mean_RMSt",0.0891588017007371,0.9,0,0.250909248267683,"Left_Arcuate"
"78",79,"timeintervention",0.181275407675035,0.9,0,0.357602125970851,"Left_Arcuate"
