"model","node","fstat","pval","variable","tract"
"17",18,2.70396915053851,0.105701666834005,"mean_RMSt","rightAF"
"17",18,0,0,"Residuals","rightAF"
"18",19,0.0346049479285694,0.853098110716439,"risk","rightAF"
"18",19,3.09164775693855,0.0841590459515112,"mean_RMSt","rightAF"
"18",19,0,0,"Residuals","rightAF"
"19",20,0.00589441426035596,0.939076114405383,"risk","rightAF"
"19",20,3.01485353879711,0.0880039016927397,"mean_RMSt","rightAF"
"19",20,0,0,"Residuals","rightAF"
"2",3,3.01063971068572,0.0882204574233905,"risk","rightAF"
"2",3,0.101997965163041,0.750633408437788,"mean_RMSt","rightAF"
"2",3,0,0,"Residuals","rightAF"
"20",21,0.0552014620688253,0.815104615128167,"risk","rightAF"
"20",21,3.06185293732929,0.0856281730701098,"mean_RMSt","rightAF"
"20",21,0,0,"Residuals","rightAF"
"21",22,0.074040577842173,0.786542811245212,"risk","rightAF"
"21",22,2.90777546804288,0.0936953946633779,"mean_RMSt","rightAF"
"21",22,0,0,"Residuals","rightAF"
"22",23,0.0972615649396618,0.756299152618725,"risk","rightAF"
"22",23,2.50167781538834,0.119357189444936,"mean_RMSt","rightAF"
"22",23,0,0,"Residuals","rightAF"
"23",24,0.0664651813549598,0.797499833095945,"risk","rightAF"
"23",24,1.44363490518867,0.234608890310978,"mean_RMSt","rightAF"
"23",24,0,0,"Residuals","rightAF"
"24",25,0.0662160944696644,0.797871178747179,"risk","rightAF"
"24",25,0.288829222001048,0.59310102927313,"mean_RMSt","rightAF"
"24",25,0,0,"Residuals","rightAF"
"25",26,0.0670867025903368,0.796576479183304,"risk","rightAF"
"25",26,0.0105108583274888,0.918708216912378,"mean_RMSt","rightAF"
"25",26,0,0,"Residuals","rightAF"
"26",27,0.00260082773671426,0.959508341587465,"risk","rightAF"
"26",27,0.00152904960620565,0.96894729071945,"mean_RMSt","rightAF"
"26",27,0,0,"Residuals","rightAF"
"27",28,0.169239077933552,0.682359173354543,"risk","rightAF"
"27",28,0.00746949701777756,0.931435862857987,"mean_RMSt","rightAF"
"27",28,0,0,"Residuals","rightAF"
"28",29,0.298334295255099,0.587098139095282,"risk","rightAF"
"28",29,0.000464702288975105,0.982877998927477,"mean_RMSt","rightAF"
"28",29,0,0,"Residuals","rightAF"
"29",30,0.252315966933568,0.617418585853394,"risk","rightAF"
"29",30,0.0602164635565429,0.807051221342221,"mean_RMSt","rightAF"
"29",30,0,0,"Residuals","rightAF"
"3",4,3.33233404891331,0.0732646382424408,"risk","rightAF"
"3",4,0.0882585821495316,0.767501996897618,"mean_RMSt","rightAF"
"3",4,0,0,"Residuals","rightAF"
"30",31,0.0688778476170861,0.793940770124059,"risk","rightAF"
"30",31,0.125364190030515,0.724617590209072,"mean_RMSt","rightAF"
"30",31,0,0,"Residuals","rightAF"
"31",32,0.00842193088263121,0.92720742487357,"risk","rightAF"
"31",32,0.223151400356709,0.638484929080005,"mean_RMSt","rightAF"
"31",32,0,0,"Residuals","rightAF"
"32",33,0.00275313075670398,0.958340699541047,"risk","rightAF"
"32",33,0.367659789569446,0.546732890198323,"mean_RMSt","rightAF"
"32",33,0,0,"Residuals","rightAF"
"33",34,0.0106153849750985,0.91830645470505,"risk","rightAF"
"33",34,0.312566606097762,0.578338540288425,"mean_RMSt","rightAF"
"33",34,0,0,"Residuals","rightAF"
