".y.","group1","group2","effsize","node","tract","n1","n2","conf.low","conf.high","magnitude"
"pre","0","1",0.0285303899499506,22,"Right_ILF",27,56,-0.44,0.5,"negligible"
"pre","0","1",0.33580891510549,22,"Right_SLF",27,56,-0.1,0.86,"small"
"pre","0","1",0.350647896024662,23,"Left_Arcuate",27,56,-0.09,0.87,"small"
"pre","0","1",0.60734749664527,23,"Left_IFOF",27,56,0.16,1.18,"moderate"
"pre","0","1",-0.0294228876859179,23,"Left_ILF",27,56,-0.5,0.45,"negligible"
"pre","0","1",0.199708230243442,23,"Left_SLF",27,56,-0.26,0.71,"negligible"
"pre","0","1",-0.0804721933604418,23,"Right_Arcuate",27,56,-0.67,0.52,"negligible"
"pre","0","1",0.234444313785278,23,"Right_IFOF",27,56,-0.23,0.72,"small"
"pre","0","1",-0.0382598168820028,23,"Right_ILF",27,56,-0.54,0.42,"negligible"
"pre","0","1",0.329044022541451,23,"Right_SLF",27,56,-0.14,0.9,"small"
"pre","0","1",0.138534891065981,24,"Left_Arcuate",27,56,-0.38,0.65,"negligible"
"pre","0","1",0.613437496362782,24,"Left_IFOF",27,56,0.13,1.12,"moderate"
"pre","0","1",-0.0162912710697567,24,"Left_ILF",27,56,-0.47,0.49,"negligible"
"pre","0","1",0.133997058444912,24,"Left_SLF",27,56,-0.33,0.62,"negligible"
"pre","0","1",-0.0680630675463132,24,"Right_Arcuate",27,56,-0.65,0.49,"negligible"
"pre","0","1",0.341976760948036,24,"Right_IFOF",27,56,-0.13,0.8,"small"
"pre","0","1",-0.0818368275558201,24,"Right_ILF",27,56,-0.59,0.36,"negligible"
"pre","0","1",0.30765716445417,24,"Right_SLF",27,56,-0.18,0.77,"small"
"pre","0","1",-0.0425347016193932,25,"Left_Arcuate",27,56,-0.54,0.4,"negligible"
"pre","0","1",0.605430557344032,25,"Left_IFOF",27,56,0.16,1.13,"moderate"
"pre","0","1",0.005788383569132,25,"Left_ILF",27,56,-0.47,0.52,"negligible"
"pre","0","1",0.0930680855627323,25,"Left_SLF",27,56,-0.4,0.55,"negligible"
"pre","0","1",-0.0700391246659916,25,"Right_Arcuate",27,56,-0.64,0.51,"negligible"
"pre","0","1",0.44405946737349,25,"Right_IFOF",27,56,0.02,0.9,"small"
